Date,Open,High,Low,Close
2022-11-21,8875,8900,8725,8725
2022-11-22,8900,8950,8850,8900
2022-11-23,8900,8975,8875,8875
2022-11-24,8975,9000,8950,9000
2022-11-25,9000,9000,8900,8975
2022-11-28,9050,9100,8975,9025
2022-11-29,8975,9075,8925,8975
2022-11-30,8875,9400,8850,9300
2022-12-01,9275,9350,9000,9000
2022-12-02,8900,8975,8900,8900
2022-12-05,8800,8900,8775,8775
2022-12-06,8725,8750,8575,8675
2022-12-07,8500,8575,8450,8450
2022-12-08,8375,8575,8350,8500
2022-12-09,8500,8600,8450,8575
2022-12-12,8525,8700,8475,8700
2022-12-13,8625,8700,8550,8700
2022-12-14,8600,8700,8525,8625
2022-12-15,8575,8600,8500,8500
2022-12-16,8425,8650,8400,8600
2022-12-19,8650,8700,8600,8650
2022-12-20,8550,8650,8550,8575
2022-12-21,8600,8700,8575,8675
2022-12-22,8650,8675,8575,8575
2022-12-23,8525,8575,8500,8500
2022-12-26,8500,8625,8500,8575
2022-12-27,8600,8650,8575,8600
2022-12-28,8650,8650,8550,8650
2022-12-29,8525,8600,8500,8575
2022-12-30,8575,8650,8550,8550
2023-01-02,8575,8600,8500,8550
2023-01-03,8550,8600,8525,8550
2023-01-04,8525,8575,8350,8350
2023-01-05,8350,8375,8150,8250
2023-01-06,8100,8325,8100,8300
2023-01-09,8325,8450,8325,8450
2023-01-10,8400,8425,8150,8175
2023-01-11,8050,8150,8000,8125
2023-01-12,8150,8275,8125,8175
2023-01-13,8150,8175,8025,8050
2023-01-16,8050,8200,8050,8150
2023-01-17,8175,8375,8150,8325
2023-01-18,8200,8325,8175,8300
2023-01-19,8350,8350,8250,8325
2023-01-20,8275,8325,8250,8300
2023-01-24,8300,8350,8225,8225
2023-01-25,8300,8300,8200,8200
2023-01-26,8225,8475,8225,8475
2023-01-27,8700,8850,8550,8700
2023-01-30,8725,8775,8575,8700
2023-01-31,8625,8675,8475,8475
2023-02-01,8575,8575,8450,8500
2023-02-02,8425,8525,8400,8450
2023-02-03,8550,8700,8500,8700
2023-02-06,8750,8750,8650,8725
2023-02-07,8775,8850,8750,8850
2023-02-08,8825,8850,8800,8825
2023-02-09,8825,8900,8800,8900
2023-02-10,8875,8900,8700,8825
2023-02-13,8875,8900,8775,8875
2023-02-14,8850,8950,8825,8950
2023-02-15,8875,8900,8750,8875
