Date,Open,High,Low,Close
2026-06-22,4320,4340,4220,4220
2026-06-23,4200,4210,4090,4120
2026-06-24,4130,4180,3970,3970
2026-06-25,3970,4090,3960,4000
2026-06-26,4000,4040,3900,3990
2026-06-29,3990,4010,3930,3940
2026-06-30,3930,3930,3830,3850
2026-07-01,3810,3880,3800,3810
2026-07-02,3810,3960,3810,3900
2026-07-03,3950,4040,3950,4010
2026-07-06,4020,4040,3940,4030
2026-07-07,4030,4090,3990,4070
2026-07-08,4080,4080,3970,3970
2026-07-09,3960,4040,3950,4040
2026-07-10,4050,4080,4010,4080
2026-07-13,4070,4260,4020,4250
2026-07-14,4250,4260,4130,4160
2026-07-15,4220,4270,4170,4200
2026-07-16,4240,4310,4220,4310
2026-07-17,4310,4490,4270,4480
2026-07-20,4480,4520,4420,4450
2026-07-21,4480,4490,4430,4480
2026-07-22,4490,4490,4410,4420
2026-07-23,4450,4470,4330,4380
2026-07-24,4280,4290,4120,4130
2026-07-27,4110,4160,4060,4160
2026-07-28,4150,4190,4100,4100
2026-07-29,4120,4140,4060,4090
2026-07-30,4100,4200,4100,4160
2026-07-31,4180,4200,4160,4190
2026-08-03,4230,4230,4140,4170
2026-08-04,4170,4260,4170,4260
2026-08-05,4260,4280,4220,4220
2026-08-06,4240,4280,4200,4200
2026-08-07,4220,4270,4210,4240
2026-08-10,4250,4270,4180,4180
2026-08-11,4200,4200,4100,4120
2026-08-12,4130,4150,4080,4130
2026-08-13,4140,4150,4090,4130
2026-08-14,4140,4170,4100,4170
2026-08-18,4200,4220,4150,4150
2026-08-19,4160,4190,4140,4140
2026-08-20,4150,4180,4140,4150
2026-08-21,4170,4240,4170,4220
2026-08-24,4220,4220,4170,4200
2026-08-26,4190,4190,4150,4160
2026-08-27,4140,4210,4130,4210
2026-08-28,4220,4260,4200,4250
